Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Clock speed; Clock speed; Clock speed; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; Processing power (GFLOPS)2; TBP (Watts)
Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS)2; TBP (Watts)
GeForce 305M; January 10, 2010; GT218; 40; PCIe 2.0 ×16; 16:8:4; 525; 1150; 1400; 2.1; 4.2; 512; 11.2; DDR3 GDDR3; 64; 10.1; 3.3; 55; 14
GeForce 310M; January 10, 2010; GT218; 40; PCIe 2.0 ×16; 16:8:4; 625; 1530; 2.5; 5; 73; 512; DDR3 GDDR3; 64; 10.1; 3.3; 14
GeForce 315M; January 5, 2011; GT218; 40; PCIe 2.0 ×16; 16:8:4; 606; 12.8; 1212; 2.42; 4.85; 512; 58.18; DDR3 GDDR3; 64; 10.1; 3.3; 14
GeForce 320M; April 1, 2010; MCP89; 40; PCIe 2.0 ×16; 48:16:8; 450; 950; 1066; 3.6; 7.2; 256 (shared w/ system memory) [ 127]; 17.056; DDR3; 136.8; 10.1; 3.3; 20; 
GeForce GT 320M; January 21, 2010; GT216; 40; PCIe 2.0 ×16; 24:8:8; 500; 1100; 1580; 4; 4; 25.3; 128; 90; 14; 10.1; 3.3; 
GeForce GT 325M; January 10, 2010; GT216; 40; PCIe 2.0 ×16; 450; 990; 3.6; 7.2; 1024; 25.6; DDR3 GDDR3; 128; 142; 10.1; 3.3; 
GeForce GT 330M; January 10, 2010; GT216; 40; PCIe 2.0 ×16; 575; 1600; 1265; 4.6; 1024; 25.6; DDR3 GDDR3; 128; 23; 9.2; 10.1; 3.3; 182; 
GeForce GT 335M; January 7, 2010; GT215; 40; PCIe 2.0 ×16; 72:24:8; 1600; 450; 1080; 1024; 25.6; DDR3 GDDR3; 128; 3.6; 10.8; 10.1; 3.3; 233 (real 155.5); 28?
GeForce GTS 350M; January 7, 2010; GT215; 40; PCIe 2.0 ×16; 1249; 3200; 4; 16; 1024; 51.2; 360; 128; 28; 10.1; 3.3; 
GeForce GTS 360M; January 7, 2010; GT215; 40; PCIe 2.0 ×16; 1436; 3600; 4.4; 17.6; 1024; DDR3 GDDR3 GDDR5; 57.6; 128; 413; 38; 10.1; 3.3; 
