Model; Launch; Code name; Fab (nm)[ 2]; Transistors (million); Die size (mm2); Bus interface; Core config1; Clock rate; Clock rate; Clock rate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; Processing power (GFLOPS)2; TDP (Watts); Comments
Model; Launch; Code name; Fab (nm)[ 2]; Transistors (million); Die size (mm2); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Single precision; TDP (Watts); Comments
GeForce 9300 mGPU; October 2008; MCP7A-S; 65  nm; 282; 162; PCIe 2.0 ×16; 16:8:4; 450; 1200; 400 666; 1.8; 3.6; Up to 512 from system memory; 6.4/12.8 10.664/21.328; DDR2 DDR3; 64 128; 10.0; 3.3; 57.6; Unknown; based on 8400 GS
GeForce 9400 mGPU; October 2008; MCP7A-U; 65  nm; 282; 162; PCIe 2.0 ×16; 16:8:4; 580; 1400; 400 666; 2.32; 4.64; Up to 512 from system memory; 6.4/12.8 10.664/21.328; DDR2 DDR3; 64 128; 10.0; 3.3; 67.2; 12; based on 8400 GS
GeForce 9300 GE[ 18]; June 2008; G98; TSMC 65  nm; 210; 86; PCIe 2.0 ×16; 8:8:4; 540; 1300; 500; 2.16; 4.32; 256; 8.0; DDR2; 64; 10.0; 3.3; 20.8; ; 
GeForce 9300 GS[ 18]; June 2008; G98; TSMC 65  nm; 210; 86; PCIe 2.0 ×16; 8:8:4; 567; 2.268; 500; 4.536; 22.4; 256; 8.0; DDR2; 64; 10.0; 3.3; 25; ; 
GeForce 9400 GT; August 27, 2008; G96-200-c1 G96a G96b; 1400; TSMC 55  nm; 144; PCIe 2.0 ×16 PCI; 16:8:4; 550; 400 800; 2.2; 4.4; 256 512 1024; 12.8 25.6; DDR2 GDDR3; 128; 44.8; 10.0; 3.3; ; 
GeForce 9500 GT; July 29, 2008; G96-300-C1; 1400; 314; 144; PCIe 2.0 ×16 PCI; UMC 65  nm; 550; 32:16:8; 500 800; 4.4; 256 512 1024; 8.8; 16.0 25.6; 128; DDR2 GDDR3; 10.0; 3.3; 89.6; ; 
GeForce 9600 GS; July 29, 2008; G94a; 505; 240; 48:24:12; PCIe 2.0 ×16 PCI; 500; 1250; 500; 6; 12; 768; 24.0; DDR2; 120; Unknown; 10.0; 3.3; OEM; 
GeForce 9600 GSO; May 2008; TSMC 65  nm; G92-150-A2; 754; 324; 96:48:12; 550; 1375; 800; 6.6; 26.4; 384 768 1536; 38.4; 192; GDDR3; 264; 10.0; 3.3; 84; 
GeForce 9600 GSO 512; October 2008; G94a G94b; TSMC 65  nm TSMC 55  nm; 505; PCIe 2.0 ×16; 240 196?[ citation needed]; 48:24:16; 650; 1625; 900; 10.4; 15.6; 512; 57.6; GDDR3; 156; 10.0; 3.3; ; 90; 
GeForce 9600 GT Green Edition; 2009; G94b; TSMC 55  nm; 505; PCIe 2.0 ×16; 196?[ citation needed]; 600 625; 1500 1625; 700/900 900[ citation needed]; 9.6 10.0; 19.2 20.0; 512 1024; 44.8/57.6 57.6[ citation needed]; 192 208; GDDR3; 59; 10.0; 3.3; Core Voltage = 1.00v; 
GeForce 9600 GT; February 21, 2008; G94-300-A1; TSMC 65  nm; 505; PCIe 2.0 ×16; 64:32:16; 240 196?[ citation needed]; 650; 1625; 900; 10.4; 512 1024; 20.8; 57.6; GDDR3; 208; 10.0; 3.3; 95; ; 
GeForce 9800 GT Green Edition; 2009; G92a2 G92b; TSMC/UMC 65  nm TSMC/UMC 55  nm; 754; PCIe 2.0 ×16; 324 260; 112:56:16; 550; 1375; 700 800 900; 8.8; 512 1024; 30.8; 44.8 51.2 57.6; GDDR3; 308; 10.0; 3.3; 75; Core Voltage = 1.00v; 
GeForce 9800 GT; July 2008; G92a G92b; UMC 55  nm; 754; PCIe 2.0 ×16; 324 260; 112:56:16; 600; 1500; 900; 9.6; 512 1024; 33.6; 57.6; GDDR3; 336; 10.0; 3.3; 125 105; 
GeForce 9800 GTX; April 1, 2008; G92-420-A2; TSMC 65  nm; 754; PCIe 2.0 ×16; 324; 675; 1688; 1100; 10.8; 43.2; 512; ; 432; GDDR3; 140; 10.0; 3.3; 
GeForce 9800 GTX+; July 16, 2008; G92b; TSMC 55  nm; 754; PCIe 2.0 ×16; 128:64:16; 260; 738; 1836; 1100; 11.808; 47.232; ; 512 1024; GDDR3; 470; 10.0; 3.3; 141; 
GeForce 9800 GX2; March 18, 2008; 2× G92; TSMC/UMC 65  nm; 2× 754; PCIe 2.0 ×16; 2× 324; 2× 128:64:16; 600; 1500; 1000; 2× 9.6; 2× 38.4; ; 2× 512; GDDR3; 2× 64.0; 10.0; 3.3; 2× 256; 2× 384; 197
Model; Launch; Codename; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS)2; TDP (Watts); Comments
