Model; Code name[ 171]; Fab (nm); Bus interface; Core clock (MHz); Boost clock (MHz); Memory clock (MHz); Core config1; Fillrate[ 172]; Fillrate[ 172]; Memory; Memory; Memory; Memory; Processing power (GFLOPS)[ 164] [ 165]; Processing power (GFLOPS)[ 164] [ 165]; Supported API version; Supported API version; Supported API version; Supported API version; Supported API version; TBP (Watts); Notes
Model; Code name[ 171]; Fab (nm); Bus interface; Core clock (MHz); Boost clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (GB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Direct3D; OpenGL; Vulkan; OpenCL; CUDA; TBP (Watts); Notes
Quadro P400; GP107; 14; PCIe 3.0 ×16; 1070; 1170; 1752 (7008); 256:16:16:2; 17.1; 17.1; 2; 32; GDDR5; 64; 641; 20.0; 12.1; 4.6; 1.1; 1.2; 6.1; 30; Three Mini-DisplayPort 1.4
Quadro P600; GP107; 14; PCIe 3.0 ×16; 1354; 1557; 1003 (4012); 384:24:16:3; 21.7; 32.5; 2; 1195; GDDR5; 37.3; 12.1; 4.6; 1.1; 1.2; 6.1; 
Quadro P620; GP107; 14; PCIe 3.0 ×16; 1266; 1003 (4012); 512:32:16:4; 64; 128; 23.3; 2; 40; GDDR5; Four Mini-DisplayPort 1.4; 46.6; 1490; 12.1; 4.6; 1.1; 1.2; 6.1; 46.6; 
Quadro P1000; GP107; 14; PCIe 3.0 ×16; 1354; 1752 (7008); 640:40:32:5; 43.3; 128; 54.2; 4; 82; GDDR5; Four Mini-DisplayPort 1.4; 1894; 59.2; 12.1; 4.6; 1.1; 1.2; 6.1; 47; 
Quadro P2000; GP106; 16; PCIe 3.0 ×16; 1370; 1470; 2002 (8008); 1024:64:40:8; 54.8; 87.7; 5; 140; GDDR5; 160; 3000; 93.8; 12.1; 4.6; 1.1; 1.2; 6.1; 75; 
Quadro P4000; GP104; 16; PCIe 3.0 ×16; 1227; 1480; 1502 (6008); 1792:112:64:14; 78.5; 137.4; 8; 243; GDDR5; 5300; 165.6; Four DisplayPort 1.4; 12.1; 4.6; 1.1; 1.2; 6.1; 105; 
Quadro P5000; GP104-875; 16; PCIe 3.0 ×16; 1607; 1733; 1126 (9008); 2560:160:64:20; 102.8; 257.1; 256; 16; 288; 8873; 277.3; 180; 12.1; 4.6; 1.1; 1.2; 6.1; 
Quadro P6000; GP102-875; 16; PCIe 3.0 ×16; 1417; 1531; 1126 (9008); 3840:240:96:32; 136.0; 340.0; 24; GDDR5X; 432; 384; 10882 (11758); Four DisplayPort 1.4, One DVI-I; 12.1; 4.6; 1.1; 1.2; 6.1; ~340; 250
Quadro GP100; GP100; 16; PCIe 3.0 ×16; ~1328; ~1480; 703 (1406); 3584:224:96; 138.4; 323; 16; 720; HBM2; 4096; 10336; 5168; 12.1; 4.6; 1.1; 1.2; 6; 235; NVLINK support
